1A,1B,1D,1E,1G,1I,1K,1L,qualified_thirds
3E,3J,3I,3C,3A,3D,3L,3K,ACDEIJKL
3H,3J,3E,3C,3A,3D,3L,3K,ACDEHJKL
3H,3E,3I,3C,3A,3D,3L,3K,ACDEHIKL
3H,3J,3E,3C,3A,3D,3L,3I,ACDEHIJL
3H,3J,3E,3C,3A,3D,3I,3K,ACDEHIJK
3E,3G,3J,3C,3A,3D,3L,3K,ACDEGJKL
3E,3G,3I,3C,3A,3D,3L,3K,ACDEGIKL
3E,3G,3J,3C,3A,3D,3L,3I,ACDEGIJL
3E,3G,3J,3C,3A,3D,3I,3K,ACDEGIJK
3H,3G,3E,3C,3A,3D,3L,3K,ACDEGHKL
3H,3G,3J,3C,3A,3D,3L,3E,ACDEGHJL
3H,3G,3J,3C,3A,3D,3E,3K,ACDEGHJK
3H,3G,3E,3C,3A,3D,3L,3I,ACDEGHIL
3H,3G,3E,3C,3A,3D,3I,3K,ACDEGHIK
3H,3G,3J,3C,3A,3D,3E,3I,ACDEGHIJ
3C,3J,3E,3D,3A,3F,3L,3K,ACDEFJKL
3C,3E,3I,3D,3A,3F,3L,3K,ACDEFIKL
3C,3J,3E,3D,3A,3F,3L,3I,ACDEFIJL
3C,3J,3E,3D,3A,3F,3I,3K,ACDEFIJK
3H,3E,3F,3C,3A,3D,3L,3K,ACDEFHKL
3H,3J,3F,3C,3A,3D,3L,3E,ACDEFHJL
3H,3J,3E,3C,3A,3F,3D,3K,ACDEFHJK
3H,3E,3F,3C,3A,3D,3L,3I,ACDEFHIL
3H,3E,3F,3C,3A,3D,3I,3K,ACDEFHIK
3H,3J,3E,3C,3A,3F,3D,3I,ACDEFHIJ
3C,3G,3E,3D,3A,3F,3L,3K,ACDEFGKL
3C,3G,3J,3D,3A,3F,3L,3E,ACDEFGJL
3C,3G,3J,3D,3A,3F,3E,3K,ACDEFGJK
3C,3G,3E,3D,3A,3F,3L,3I,ACDEFGIL
3C,3G,3E,3D,3A,3F,3I,3K,ACDEFGIK
3C,3G,3J,3D,3A,3F,3E,3I,ACDEFGIJ
3H,3G,3F,3C,3A,3D,3L,3E,ACDEFGHL
3H,3G,3E,3C,3A,3F,3D,3K,ACDEFGHK
3H,3G,3J,3C,3A,3F,3D,3E,ACDEFGHJ
3H,3G,3E,3C,3A,3F,3D,3I,ACDEFGHI
